Q1,奔驰,奔驰GL级,方向机 重 ， 助力 泵 ， 方向机 都 换,技师说 车主说 新 都 换 车主说 助力 泵 ， 方向机 技师说 车主说 换 方向机 带 车主说 技师说 车主说 助力 重 ， 这车 匹配 技师说 不 需要 技师说 更换 部件 问题 车主说 跑 快 还好 点 ， 倒车 重 很 。 技师说 非常 重 车主说 ， 累人 技师说 车主说 觉得 ， 车主 以前 没 重 ， 选 助理 泵 换 不行 ， 放 机换 ， 现在 还 不 知道 车主 解释 。 技师说 技师说,随时 联系
Q2,奔驰,奔驰M级,奔驰 ML500 排气 凸轮轴 调节 错误,技师说 有没有 电脑 检测 故障 代码 。 车主说 技师说 发 一下 车主说 发动机 之前 亮 故障 灯 、 显示 失火 、 有点 缺缸 、 现在 没有 故障 、 发动机 有点 抖动 、 检查 先前 故障 报 故障 车主说 稍 车主说 显示 太大传 不了 技师说 车主说 发动机 抖动 、 失火 、 缺缸 直接 联系 ？ 技师说 车主说 报 左右 排气 凸轮轴 作动 电磁铁 正极 短路 、 短路 、 导线 断路 技师说 车主说 几个 电磁阀 问 第一个 故障 直接 关系 技师说 车主说 办法 检测 好坏 ？ 技师说 车主说 谢谢 技师说 不客气,随时 联系
Q3,宝马,宝马X1 进口,2010 款 宝马X1 ， 2011 年 出厂 ， 2.0 排量 ， 通用 6L45 变速箱 ， 原地 换挡 位 PRND 车辆 闯动 ， 行驶 升降 档 正常 ， 4 轮离 换挡 无 冲击感 ， 更换 变速箱 油 12L 无 改变 。 试 一辆 2014 年 进口 X1 原地 换挡 位 冲击感 ， 这是 情况 ， 问题,技师说 4 缸 自然 吸气 发动机 N46 ， 先挂 空档 再 挂 档 有没有 闯动 ， 变速箱 油液 位 是否 调整 正常 液位 车主说 N D 进本 没有 N R ， P R ， 最 主要 行驶 中到 红绿灯 路口 红灯 停车 D N 冲击感 ， 绿灯 后 N D 冲击感 很小 技师说 第一 ， 变速箱 油位 调整 标准 液位 ， ， 清除 变速箱 适应 值 ， 第三 升级 变速箱 程序 ， 遇到 液力 变矩器 问题 车主说 升级 变速箱 程序 刷 模块 车主说 问题 停车 后 档位 P 挡 松开 刹车踏板 时 ， 感觉 车辆 会 动 一下 车主说 清除 变速箱 适应 值 技师说 先 简单 排查 ， 可能 程序 问题 ， 可能 液力 变矩器 轴头 磨损 ， 泄压 ， 需要 专用 电脑 清除 变速箱 适应 值 升级 变速箱 程序 技师说 换 变速箱 油有 焦糊 味 没 ， 变速箱 油底壳 带 滤芯 ， 换 没 ， 车主说 没有 味 ， 滤芯 换 车主说 变矩器 磨损 ， 车况 上架 4 轮离 换挡 位 没有 冲击感 技师说 ， 先 简单 排查 ， 换 油 需要 需要 重新学习 车主说 没 换油 之前 ， 是因为 冲击 才 换 油 技师说 换油 之前 换挡 冲击 行驶 冲击 车主说 原地 换挡 位 冲击 ， 换油 行驶 都 没 问题 技师说 公里 ， 估计 程序 问题 ， 阀体 里 问题 ， 阀体 电脑 一体 车主说 9.3 万公里 车主说 昨天 去试 4 万多公里 X1 是不是 通病 技师说 一点 正常 ， 刹车 踩 重点 车主说 用力 踩 刹车 冲击感 基本 没有 车主说 用力 踩住 刹车 ， 原地 换挡 位 基本 感觉 不到 冲击感 技师说 ， 行驶 没有 冲击 ， 应该 没有 问题 车主说 谢谢 技师说 不客气,行驶 没有 顿挫 感觉 ， 原地 换挡 闯动 ， 刹车 踩 重 没有 ， 力 限制 作用 ， 应该 没有 问题
Q4,Jeep,牧马人,3.0 V6 发动机 号 位置 ， 照片 最好 ！,技师说 右侧 排气管 上方 ， 缸体 上 靠近 变速箱 车主说 车主说 是不是 ？ 车主说 号 不 车主说 技师说 先 拓下来 行车证 对下 车主说 ， 不是 车主说 有没有 ？ 技师说 那年 车 车主说 14 年 3.0 牧马人 技师说 做 前轮 缸体 上 车主说 有没有 画个 圈圈 车主说 不要 拆 车主说 ？ ？ 技师说 不要 拆 车主说 都 看 ， 看不到 技师说 车主说 车主说 发动机 不 技师说 客户 维修 技师 技师说 柴油 汽油 版 车主说 汽油 车主说 车 ， 过户 技师说 找 维修 人员 ， 专门 拓号 人 技师说 需要 车升 起来 车主说 找 ， 专业 拓号 ， 说 找 不到 车主说 不 知道,举起 车辆 ， 左 前轮 缸体 上
Q5,奔驰,奔驰C级,2012 款 奔驰 c180 ， 维修保养 ， 动力 ， 值得 拥有,技师说 家庭 用车 ， 入手 技师说 维修保养 费用 不高 车主说 12 年 180 市场价 钱 现在 车主说 车主说 想 媳妇 买 车主说 属于 老款 技师说 具体 看 车况 车主说 车主说 车况 好 技师说 那年 技师说 上户 日期 车主说 2012 年 个人 一手 ， 车主说 大概 钱 车主说 车主说 1.6 t 技师说 需要 查 一下 技师说 15 16 万 之间 车主说 属于 180k1.6 t 车主说 应该 老款 车主说 小 保养 一次 钱 技师说 老款 技师说 800 . 技师说 全 合成 机油 车主说 变速箱 钱换 一次 车主说 油 技师说 六 万公里 技师说 价格 1500 车主说 说 价格 外面 修理厂 四 s 店 价位 技师说 修理厂 车主说 知道 ， 谢谢 ? ?,家庭 用车 入手 ， 维修保养 价格 还 。 车况 好 ， 价格合理 入手
Q6,雪佛兰,科鲁兹,科鲁兹 变速箱 旁边 漏机油,技师说 具体 部位 ？ 发动机 变速器 正中间 位置 ？ 车主说 技师说 拍 ？ 车主说 中间 车主说 上面 技师说 上 已经 看见 ， 检查 机油 有没有 缺少 情况 ， 看见 好像 变速器 油 。 车主说 变速器 漏油 应该 出来 问题 车主说 机油 不少 技师说 变速器 油 ， 就要 拆开 检查一下 变速器 一轴 ， 可能 油封 出现 路由 里面 ， 自动 变速器 ， 自动 变速器 ， 还要 检查一下 ， 中间 传动 机构 ， 液压 变距器 是不是 漏油 情况 ？ 车主说 手动挡 车主说 1.6 技师说 手动挡 变速器 一轴 油封 出现 漏油 。 车主说 需要 抬 变速箱 ？ 工程量 大不大 技师说 肯定 拆 变速箱 才能 换 ， 液压 离合器 分泵 ， 没有 问题 ， 都 正常 ， 刹车油 不 缺少 车主说 都 正常 技师说 拆 变速器 ， 大概 需要 半天 时间 。 车主说 确定 不是 机油 ？ 外面 修 4S 比较 好 车主说 算不算 大 问题 车主说 紧 一下 旁边 螺丝 有没有 技师说 机油 不 缺少 ， 不是 漏 机油 ， 地方 两个 油封 事 ， 发动机 曲轴 后 油封 ， 容易 漏机油 ， 第二个 变速器 一轴 油封 容易 漏油 ， ， 问题 ， 两个 问题 都 拆 变速箱 。 车主说 暂时 不修 有没有 大 影响 技师说 去 外面 修理厂 维修 ， 手动挡 ， 比较 好 拆卸 。 暂时 不 维修 ， 往出 渗油 检查一下 变速器 油 有没有 短缺 。 车主说 好 拆下来 方便 两个 隐患 都 修 技师说 ， 拆下来 看 损坏 维修 ， 不 坏 不 需要 动它 。 车主说 好 谢谢 技师说 不客气 ！ 祝您 用车 愉快 ！,这种 情况 ， 机油 不 缺少 ， 应该 变速器 一轴 油封 漏油 情况 ， 需要 拆下来 检查一下 ， 两个 油封 最好 都 检查一下 ， 出现 问题 直接 更换 。
Q7,丰田,凯美瑞 海外,我要 才能 知道 车子 断开 电瓶 电源 之后 不要 做 节气门 防盗 ， 音响 重置 ， 节气门 重置 是不是 所有 车型 都 ， 打开 电源 不 启动 车子 ， 油门 踩 到底 五秒 ， 重复 几次 。 设备 密码 才行 是不是,技师说 你好 ！ 车子 断开 电瓶 头 车 启动 后 怠速 偏低 抖动 节气门 脏 需要 重新 清洗 干净 节气门 后 匹配 节气门 ， 防盗 功能 解锁 车 启动 不会 锁止 防盗 ， 音响 正常 开机 不会 锁 ， 提示 输入 密码 才能 开机 锁机 ， 匹配 节气门 不是 所有 车型 都 ， 车型 需要 连接 汽车 电脑 才能 匹配 节气门 ， 参考 下 ， 希望 帮到 车主说 车型 需要 电脑 匹配 节气门 ， 年份 新 ， 品牌 ， 车主说 音响 锁 ， 密码 ， 车主 手册 上 技师说 你好 ！ 中高档 车型 断电 后 需要 匹配 节气门 ， 大众 车系 本田 车型 清洗 干净 节气门 后 需要 连接 汽车 电脑 重新 匹配 节气门 ， 音响 锁 ， 密码 音响 外壳 条码 上 找到 密码,你好 ！ 车子 断电 后 ， 重新 车 启动 会 车子 怠速 偏低 不 稳 抖动 需要 重新 清洗 干净 节气门 后 匹配 节气门 ， 防盗 ， 车子 正常 解锁 正常 ， 音响 方面 正常 开机 启动 不 需要 解码 ， 不能 正常 开机 需要 输入 密码 开机 ， 密码 车子 多媒体 机 后面 条码 上 读取 密码 ， 不是 所有 节气门 匹配 方法 都 ， 车型 需要 连接 汽车 专用 电脑 匹配 节气门 ， 希望 帮到 ！
Q8,昌河,昌河Q35,昌河Q35 音响 拆装,技师说 发个 中控 看看 车主说 技师说 技师说 圈起来 面板 车主说 技师说 翘出来 车主说 不行 技师说 如图所示 没有 螺丝 技师说 新车 紧 车主说 翘 断 不 出来 技师说 技师说 绿色 圈 先 下来 车主说 上边 螺丝 技师说 没有 拆完 车主说 技师说 内部 卡扣 固定,面板 内部 卡子 固定 ， 没有 固定 螺丝
Q9,长安,长安CS35,长安 35 朝阳 轮胎 不要 里面 钢圈 。 钢圈 钱 外面 换 钱,技师说 意思 只 更换 新 轮胎 。 技师说 只 更换 单独 轮胎 ， 价格 350 块钱 左右 。 车主说 只换 轮胎 皮皮 轮毂 350 技师说 ， 轮胎 品牌 轮胎 ， 轮胎 型号 比较 大 ， 说 价格 都 比较 贵 ， 最 便宜 。 网上 购买 ， 200 ， 地区 不 ， 价格 略有 浮动 。 车主说 额额 谢谢 回答 ? ? 晓得 。 技师说 不客气 ！ 祝您 用车 愉快 ！,单独 购买 轮胎 ， 车胎 型号 比较 大 卖 轮胎 地方 ， 去 修理厂 费用 350 左右 ， 网购 ， 更换 比较 便宜 一点 。
Q10,吉利汽车,远景,吉利 远景 外球笼 上 大 螺丝 顺时针 拧下来 反,技师说 逆时针 旋转 松 技师说 螺丝 比较 紧 车主说 扳手 都 断 车主说 那就是说 轮胎 螺丝 拧 法 技师说 技师说 拆过 车主说,螺丝 轮胎 螺丝 ， 顺丝 抠
